# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
3980|-0.03085|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
13650|0.0199021|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
17580|-0.0163879|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
3830|0.0465875|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
3590|-0.0402724|/home/afr/Desktop/cage-songbooks/aoife/blob-7.wav
13520|-0.0163118|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
15180|0.0320444|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
4980|-0.0465612|/home/afr/Desktop/cage-songbooks/aoife/blob-9.wav
4850|0.0237397|/home/afr/Desktop/cage-songbooks/aoife/blob-6.wav
4970|-0.0264681|/home/afr/Desktop/cage-songbooks/aoife/blob-6.wav
13660|0.0202499|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
5550|-0.0412497|/home/afr/Desktop/cage-songbooks/aoife/blob-7.wav
25490|-0.115685|/home/afr/Desktop/cage-songbooks/aoife/blob-32.wav
3660|-0.0404454|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
15050|-0.0380007|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
290|0.0193371|/home/afr/Desktop/cage-songbooks/aoife/blob-6.wav
4360|0.0366811|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
30650|-0.0441431|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
12820|-0.0387976|/home/afr/Desktop/cage-songbooks/aoife/blob-27.wav
2020|0.0213736|/home/afr/Desktop/cage-songbooks/aoife/blob-6.wav
30800|0.0578366|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
15160|0.034047|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
3480|0.0388957|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
26720|0.0514873|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
5410|0.0450746|/home/afr/Desktop/cage-songbooks/aoife/blob-7.wav
27590|-0.0567766|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
4840|0.0268865|/home/afr/Desktop/cage-songbooks/aoife/blob-6.wav
23450|-0.0386054|/home/afr/Desktop/cage-songbooks/aoife/blob-7.wav
23300|0.0460578|/home/afr/Desktop/cage-songbooks/aoife/blob-7.wav
16010|-0.0266953|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
15300|-0.0478044|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
11390|0.0274685|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
30620|-0.0473236|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
1840|-0.0171744|/home/afr/Desktop/cage-songbooks/aoife/blob-6.wav
15510|0.0387761|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
15640|-0.0426382|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
15520|0.0371295|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
26960|-0.020648|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
3340|-0.0408643|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
17850|-0.0344904|/home/afr/Desktop/cage-songbooks/aoife/blob-7.wav
1700|0.0179461|/home/afr/Desktop/cage-songbooks/aoife/blob-6.wav
7060|-0.0384297|/home/afr/Desktop/cage-songbooks/aoife/blob-9.wav
4860|-0.0287211|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
18210|-0.0312887|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
31370|0.0454864|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
3480|0.0425443|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
25170|-0.125179|/home/afr/Desktop/cage-songbooks/aoife/blob-32.wav
7180|0.0403326|/home/afr/Desktop/cage-songbooks/aoife/blob-9.wav
25340|0.118279|/home/afr/Desktop/cage-songbooks/aoife/blob-32.wav
11230|-0.042967|/home/afr/Desktop/cage-songbooks/aoife/blob-27.wav
3420|-0.0214208|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
16970|-0.030409|/home/afr/Desktop/cage-songbooks/aoife/blob-27.wav
15310|-0.0310698|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
12380|0.0214847|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
9590|0.0342564|/home/afr/Desktop/cage-songbooks/aoife/blob-27.wav
31260|-0.044826|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
3640|-0.0311467|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
15990|-0.0281296|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
21600|0.0259514|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
13610|0.038297|/home/afr/Desktop/cage-songbooks/aoife/blob-7.wav
5610|-0.0278416|/home/afr/Desktop/cage-songbooks/aoife/blob-9.wav
15170|0.0377534|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
3800|0.036986|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
5690|0.036766|/home/afr/Desktop/cage-songbooks/aoife/blob-7.wav
21200|-0.0198318|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
15040|-0.0378409|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
26190|-0.106016|/home/afr/Desktop/cage-songbooks/aoife/blob-32.wav
2800|-0.0322716|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
9330|0.0245211|/home/afr/Desktop/cage-songbooks/aoife/blob-27.wav
5300|-0.0291155|/home/afr/Desktop/cage-songbooks/aoife/blob-9.wav
30170|0.0450874|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
2160|-0.016405|/home/afr/Desktop/cage-songbooks/aoife/blob-6.wav
30050|-0.0426065|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
3970|-0.0305328|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
5460|0.0345599|/home/afr/Desktop/cage-songbooks/aoife/blob-9.wav
26870|-0.105916|/home/afr/Desktop/cage-songbooks/aoife/blob-32.wav
26700|0.114467|/home/afr/Desktop/cage-songbooks/aoife/blob-32.wav
4120|0.0487295|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
16160|0.0304734|/home/afr/Desktop/cage-songbooks/aoife/blob-30.wav
5550|-0.0303349|/home/afr/Desktop/cage-songbooks/aoife/blob-25.wav
7070|-0.0301289|/home/afr/Desktop/cage-songbooks/aoife/blob-9.wav
9460|-0.035279|/home/afr/Desktop/cage-songbooks/aoife/blob-27.wav
3980|-0.0376317|/home/afr/Desktop/cage-songbooks/aoife/blob-3.wav
31120|0.0433471|/home/afr/Desktop/cage-songbooks/aoife/blob-22.wav
