# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
490|0.812147|/home/afr/Desktop/cage-songbooks/jolana/blob-17.wav
7130|0.0419126|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
56180|0.0129738|/home/afr/Desktop/cage-songbooks/jolana/blob-2.wav
540|-0.113802|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
22260|0.0818155|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
69900|0.170641|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
76240|0.0422518|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
69850|0.161573|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
139200|-0.0585166|/home/afr/Desktop/cage-songbooks/jolana/blob-1.wav
20580|-0.0411379|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
3140|0.0602501|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
22210|0.0860282|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
69950|0.16|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
6640|-0.152736|/home/afr/Desktop/cage-songbooks/jolana/blob-34.wav
70830|0.0597548|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
55820|0.106293|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
76290|0.0596627|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
870|0.67706|/home/afr/Desktop/cage-songbooks/jolana/blob-24.wav
55770|0.163583|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
39900|0.312295|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
31790|0.0427177|/home/afr/Desktop/cage-songbooks/jolana/blob-8.wav
55720|0.153138|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
20450|0.0260368|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
38000|-0.164485|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
2420|-0.0587421|/home/afr/Desktop/cage-songbooks/jolana/blob-27.wav
93850|-0.0613488|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
38410|-0.330145|/home/afr/Desktop/cage-songbooks/jolana/blob-21.wav
46880|-0.108842|/home/afr/Desktop/cage-songbooks/jolana/blob-19.wav
39670|0.191949|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
75960|-0.0467345|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
15140|-0.641625|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
32710|-0.0721906|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
13830|-0.345764|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
36620|0.031417|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
36340|0.0275896|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
47420|0.272819|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
22310|0.091836|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
94560|-0.0494507|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
75910|-0.0546186|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
55670|0.122083|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
35870|-0.0536768|/home/afr/Desktop/cage-songbooks/jolana/blob-16.wav
95740|0.0438276|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
1780|-0.0316349|/home/afr/Desktop/cage-songbooks/jolana/blob-33.wav
27410|-0.0456282|/home/afr/Desktop/cage-songbooks/jolana/blob-36.wav
45300|-0.155537|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
32720|0.049536|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
15700|0.2597|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
56360|-0.051758|/home/afr/Desktop/cage-songbooks/jolana/blob-4.wav
56370|0.0662961|/home/afr/Desktop/cage-songbooks/jolana/blob-4.wav
1800|-0.0714784|/home/afr/Desktop/cage-songbooks/jolana/blob-26.wav
66510|-0.0446107|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
46890|0.148922|/home/afr/Desktop/cage-songbooks/jolana/blob-19.wav
61860|0.0623834|/home/afr/Desktop/cage-songbooks/jolana/blob-30.wav
76340|0.0547893|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
15280|-0.151046|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
39770|0.115692|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
55060|-0.156054|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
56410|-0.0564883|/home/afr/Desktop/cage-songbooks/jolana/blob-4.wav
56230|0.0173817|/home/afr/Desktop/cage-songbooks/jolana/blob-2.wav
