# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
51860|1.02317|/home/afr/Desktop/cage-songbooks/jolana/blob-17.wav
92020|-0.579334|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
62490|0.104003|/home/afr/Desktop/cage-songbooks/jolana/blob-2.wav
77360|0.539511|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
51100|-0.0403114|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
35590|-0.146979|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
91890|-0.195113|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
35570|-0.158725|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
32100|-0.030017|/home/afr/Desktop/cage-songbooks/jolana/blob-1.wav
64450|0.0294051|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
127470|-0.486467|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
50990|-0.0461804|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
35540|-0.13999|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
74460|-0.770915|/home/afr/Desktop/cage-songbooks/jolana/blob-34.wav
49540|-0.473789|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
65530|0.188238|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
91940|-0.273208|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
128960|-0.928477|/home/afr/Desktop/cage-songbooks/jolana/blob-24.wav
65810|0.162627|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
61130|0.0566688|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
60760|0.164936|/home/afr/Desktop/cage-songbooks/jolana/blob-8.wav
65250|0.159493|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
56570|-0.0408481|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
70730|0.188867|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
39990|-0.552695|/home/afr/Desktop/cage-songbooks/jolana/blob-27.wav
105640|0.4221|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
52210|-0.18198|/home/afr/Desktop/cage-songbooks/jolana/blob-21.wav
69070|0.108916|/home/afr/Desktop/cage-songbooks/jolana/blob-19.wav
77230|-0.142694|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
65440|-0.166666|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
93820|0.6635|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
59180|-0.270093|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
32100|-0.61488|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
49970|0.044997|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
56340|-0.0407213|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
60830|0.0586581|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
50290|-0.0502375|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
93510|0.341789|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
65490|-0.221268|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
71980|0.152038|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
70290|-0.0926844|/home/afr/Desktop/cage-songbooks/jolana/blob-16.wav
72520|0.405624|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
81120|0.334888|/home/afr/Desktop/cage-songbooks/jolana/blob-33.wav
67340|-0.06785|/home/afr/Desktop/cage-songbooks/jolana/blob-36.wav
123420|0.141643|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
59260|-0.271823|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
51790|-0.545287|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
